provincia_nombre,casos,prop_masc,prop_joven,edad_media,anio,mes,region,cluster_territorial,perfil_dominante,lag1,lag2,lag3,roll3_mean,roll3_std,umbral_alerta,alerta
Buenos Aires,72,0.7083333333333334,0.3888888888888889,40.05555555555556,2017,4,Centro,1,0,66.0,58.0,70.0,64.66666666666667,6.110100926607786,106.2,0
Buenos Aires,58,0.7758620689655172,0.3620689655172414,42.775862068965516,2017,5,Centro,1,0,72.0,66.0,58.0,65.33333333333333,7.02376916856849,106.2,0
Buenos Aires,54,0.8148148148148148,0.37037037037037035,42.27777777777778,2017,6,Centro,1,0,58.0,72.0,66.0,65.33333333333333,7.02376916856849,106.2,0
Buenos Aires,84,0.8333333333333334,0.38095238095238093,38.964285714285715,2017,7,Centro,1,0,54.0,58.0,72.0,61.333333333333336,9.451631252505221,106.2,0
Buenos Aires,115,0.7652173913043478,0.40869565217391307,39.95652173913044,2017,8,Centro,1,0,84.0,54.0,58.0,65.33333333333333,16.289055630494154,106.2,1
Buenos Aires,111,0.8198198198198198,0.23423423423423423,45.873873873873876,2017,9,Centro,1,0,115.0,84.0,54.0,84.33333333333333,30.501366089625115,106.2,1
Buenos Aires,88,0.6704545454545454,0.2727272727272727,45.23863636363637,2017,10,Centro,1,0,111.0,115.0,84.0,103.33333333333333,16.86218649325562,106.2,0
Buenos Aires,119,0.8319327731092437,0.4117647058823529,40.319327731092436,2017,11,Centro,1,0,88.0,111.0,115.0,104.66666666666667,14.57166199626289,106.2,1
Buenos Aires,96,0.8333333333333334,0.3541666666666667,41.010416666666664,2017,12,Centro,1,0,119.0,88.0,111.0,106.0,16.09347693943105,106.2,0
Buenos Aires,109,0.8440366972477065,0.3853211009174312,41.403669724770644,2018,1,Centro,1,0,96.0,119.0,88.0,101.0,16.09347693943105,106.2,1
Buenos Aires,103,0.8349514563106796,0.27184466019417475,46.85436893203884,2018,2,Centro,1,0,109.0,96.0,119.0,108.0,11.532562594670749,106.2,0
Buenos Aires,104,0.7884615384615384,0.40384615384615385,40.55769230769231,2018,3,Centro,1,0,103.0,109.0,96.0,102.66666666666667,6.506407098647628,106.2,0
Buenos Aires,102,0.803921568627451,0.3137254901960784,43.372549019607845,2018,4,Centro,1,0,104.0,103.0,109.0,105.33333333333333,3.2145502536641453,106.2,0
Buenos Aires,105,0.8,0.3619047619047619,43.19047619047619,2018,5,Centro,1,0,102.0,104.0,103.0,103.0,0.9999999999994369,106.2,0
Buenos Aires,86,0.872093023255814,0.38372093023255816,40.43023255813954,2018,6,Centro,1,0,105.0,102.0,104.0,103.66666666666667,1.5275252316515764,106.2,0
Buenos Aires,98,0.7959183673469388,0.3673469387755102,44.19387755102041,2018,7,Centro,1,0,86.0,105.0,102.0,97.66666666666667,10.214368964029655,106.2,0
Buenos Aires,101,0.8316831683168316,0.49504950495049505,38.18811881188119,2018,8,Centro,1,0,98.0,86.0,105.0,96.33333333333333,9.609023536932995,106.2,0
Buenos Aires,123,0.8130081300813008,0.3983739837398374,40.86178861788618,2018,9,Centro,1,0,101.0,98.0,86.0,95.0,7.937253933193702,106.2,1
Buenos Aires,115,0.8260869565217391,0.3826086956521739,39.65217391304348,2018,10,Centro,1,0,123.0,101.0,98.0,107.33333333333333,13.650396819628808,106.2,1
Buenos Aires,109,0.8623853211009175,0.44036697247706424,37.22935779816514,2018,11,Centro,1,0,115.0,123.0,101.0,113.0,11.135528725659999,106.2,1
Buenos Aires,154,0.8571428571428571,0.3246753246753247,44.79220779220779,2018,12,Centro,1,0,109.0,115.0,123.0,115.66666666666667,7.023769168568422,106.2,1
Buenos Aires,107,0.8130841121495327,0.2897196261682243,43.35514018691589,2019,1,Centro,1,0,154.0,109.0,115.0,126.0,24.433583445741213,106.2,1
Buenos Aires,104,0.7211538461538461,0.4326923076923077,37.72115384615385,2019,2,Centro,1,0,107.0,154.0,109.0,123.33333333333333,26.57693235370351,106.2,0
Buenos Aires,94,0.8297872340425532,0.3404255319148936,42.691489361702125,2019,3,Centro,1,0,104.0,107.0,154.0,121.66666666666667,28.041635710730795,106.2,0
Buenos Aires,71,0.7605633802816901,0.3380281690140845,44.95774647887324,2019,4,Centro,1,0,94.0,104.0,107.0,101.66666666666667,6.806859285553989,106.2,0
Buenos Aires,46,0.8260869565217391,0.32608695652173914,41.23913043478261,2019,5,Centro,1,0,71.0,94.0,104.0,89.66666666666667,16.92138686199605,106.2,0
Buenos Aires,47,0.7872340425531915,0.3617021276595745,40.40425531914894,2019,6,Centro,1,0,46.0,71.0,94.0,70.33333333333333,24.006943440041102,106.2,0
